EV      	Name                  	Team 	TEV   	Pos 	GP 	SGP 	G  	A  	P   	ESP
 60.129 	John Carlson          	WSH  	1.087 	D   	79 	 28 	 5 	46 	 51 	 37
 59.469 	Brock Nelson          	COL  	0.976 	F   	80 	 30 	26 	30 	 56 	 46
 59.288 	Valeri Nichushkin     	COL  	0.976 	F   	43 	 22 	21 	13 	 34 	 26
 59.260 	Aaron Ekblad          	FLA  	0.999 	D   	56 	 12 	 3 	30 	 33 	 20
 58.931 	Evan Bouchard         	EDM  	0.854 	D   	82 	 31 	14 	53 	 67 	 41
 58.412 	Sam Bennett           	FLA  	0.999 	F   	76 	 26 	25 	26 	 51 	 40
 58.394 	Victor Hedman         	TBL  	0.903 	D   	79 	 31 	15 	51 	 66 	 40
 58.260 	Thomas Harley         	DAL  	0.925 	D   	78 	 29 	16 	34 	 50 	 35
 57.750 	Jonathan Drouin       	COL  	0.976 	F   	43 	 23 	11 	26 	 37 	 25
 56.303 	Connor McMichael      	WSH  	1.087 	F   	82 	 31 	26 	31 	 57 	 46
 56.297 	Drake Batherson       	OTT  	0.834 	F   	82 	 31 	26 	42 	 68 	 37
 56.247 	Brett Howden          	VGK  	1.175 	F   	80 	 29 	23 	17 	 40 	 39
 56.199 	Pavel Dorofeyev       	VGK  	1.175 	F   	82 	 30 	35 	17 	 52 	 35
 56.109 	Luke Hughes           	NJD  	0.933 	D   	71 	 27 	 7 	37 	 44 	 28
 55.823 	Nicholas Suzuki       	MTL  	0.608 	F   	82 	 31 	30 	59 	 89 	 60
 54.867 	Jake Sanderson        	OTT  	0.834 	D   	80 	 30 	11 	46 	 57 	 23
 54.805 	Shayne Gostisbehere   	CAR  	1.120 	D   	70 	 26 	 7 	38 	 45 	 18
 54.300 	Devon Toews           	COL  	0.976 	D   	76 	 27 	10 	34 	 44 	 41
 54.003 	Noah Hanifin          	VGK  	1.175 	D   	80 	 28 	10 	29 	 39 	 29
 53.870 	Anze Kopitar          	LAK  	0.899 	F   	81 	 32 	21 	46 	 67 	 44
 53.406 	Dylan Holloway        	STL  	0.710 	F   	77 	 25 	26 	37 	 63 	 50
 52.239 	Mason Marchment       	DAL  	0.925 	F   	62 	 29 	22 	25 	 47 	 37
 52.232 	Mikael Granlund       	DAL  	0.925 	F   	83 	 31 	22 	44 	 66 	 46
 51.986 	Pavel Buchnevich      	STL  	0.710 	F   	76 	 26 	20 	37 	 57 	 43
 51.238 	Andrei Svechnikov     	CAR  	1.120 	F   	72 	 20 	20 	28 	 48 	 30
 51.207 	Jordan Kyrou          	STL  	0.710 	F   	82 	 30 	36 	34 	 70 	 53
 50.534 	Brad Marchand         	FLA  	0.999 	F   	71 	 18 	23 	28 	 51 	 37
 50.349 	Carter Verhaeghe      	FLA  	0.999 	F   	81 	 29 	20 	33 	 53 	 37
 50.228 	Taylor Hall           	CAR  	1.120 	F   	77 	 29 	18 	24 	 42 	 33
 49.046 	Anthony Cirelli       	TBL  	0.903 	F   	80 	 31 	27 	32 	 59 	 47
 49.017 	Andrei Kuzmenko       	LAK  	0.899 	F   	66 	 29 	11 	26 	 37 	 24
 48.417 	Brady Tkachuk         	OTT  	0.834 	F   	72 	 21 	29 	26 	 55 	 32
 47.890 	Morgan Rielly         	TOR  	1.068 	D   	82 	 31 	 7 	34 	 41 	 26
 47.259 	Mattias Ekholm        	EDM  	0.854 	D   	65 	 14 	 9 	24 	 33 	 26
 46.984 	Yanni Gourde          	TBL  	0.903 	F   	57 	 22 	 7 	24 	 31 	 30
 46.699 	Jackson Blake         	CAR  	1.120 	F   	80 	 28 	17 	17 	 34 	 27
