Rank	Country	Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
370	CA	Rasmus Sandin	WSH	23	D	68	3	20	23	24	-13	21:07	19:29	1:24	0:13	3	0	0	1	0	15	5	0	3	0	18	5	0	4	0	21.7%	0.125	0.836	0.961	0.136	0.679	0.815	0.000	3.146	3.146	0.044	0.294	0.338	79	3.8%	75	106	0	0	0.00%
371	CA	Corey Perry	EDM	38	F	54	12	10	22	46	-6	13:22	11:31	1:51	0:00	9	3	0	2	0	9	1	0	2	0	18	4	0	4	0	18.2%	0.996	0.830	1.827	0.868	0.868	1.737	1.787	0.596	2.383	0.222	0.185	0.407	82	14.6%	43	17	0	1	0.00%
372	CA	Nic Dowd	WSH	33	F	64	12	10	22	47	-2	15:12	12:52	0:03	2:15	12	0	0	2	0	10	0	0	2	0	22	0	0	4	0	0.0%	0.740	0.617	1.357	0.874	0.728	1.602	0.000	0.000	0.000	0.188	0.156	0.344	61	19.7%	118	72	493	531	48.14%
373	CA	Kyle Okposo	FLA	35	F	67	12	10	22	34	1	13:21	11:22	1:12	0:46	9	2	1	0	0	8	2	0	2	0	17	4	1	2	0	18.2%	0.805	0.671	1.475	0.708	0.630	1.338	1.486	1.486	2.972	0.179	0.149	0.328	114	10.5%	75	35	131	144	47.64%
374	CA	Michael McCarron	NSH	28	F	70	12	10	22	100	4	12:46	11:22	0:03	1:20	12	0	0	3	0	10	0	0	2	0	22	0	0	5	0	0.0%	0.806	0.671	1.477	0.904	0.754	1.658	0.000	0.000	0.000	0.171	0.143	0.314	94	12.8%	142	55	357	314	53.20%
375	CA	Brett Leason	ANA	24	F	68	11	11	22	14	-7	13:00	10:36	0:12	2:11	9	0	2	0	0	11	0	0	0	0	20	0	2	0	0	0.0%	0.746	0.746	1.492	0.748	0.915	1.663	0.000	0.000	0.000	0.162	0.162	0.324	91	12.1%	80	65	17	24	41.46%
376	CA	Marcus Foligno	MIN	32	F	55	10	12	22	59	10	14:28	11:50	0:30	2:07	10	0	0	3	0	11	0	1	4	0	21	0	1	7	0	0.0%	0.753	0.904	1.657	0.921	1.013	1.934	0.000	0.000	0.000	0.182	0.218	0.400	56	17.9%	179	40	7	11	38.89%
377	CA	Hendrix Lapierre	WSH	21	F	51	8	14	22	4	-1	11:26	10:22	1:02	0:00	8	0	0	1	0	12	2	0	2	1	20	2	0	3	1	9.1%	0.823	1.440	2.263	0.907	1.361	2.268	0.000	2.242	2.242	0.157	0.275	0.431	51	15.7%	26	31	105	175	37.50%
378	CA	Jalen Chatfield	CAR	27	D	72	8	14	22	24	15	15:11	14:30	0:02	0:38	8	0	0	2	0	14	0	0	3	0	22	0	0	5	0	0.0%	0.439	0.768	1.206	0.460	0.804	1.264	0.000	0.000	0.000	0.111	0.194	0.306	90	8.9%	58	66	0	0	0.00%
379	CA	Alexander Romanov	NYI	23	D	81	7	15	22	20	23	20:50	18:47	0:02	1:59	7	0	0	0	0	15	0	0	1	0	22	0	0	1	0	0.0%	0.249	0.533	0.782	0.276	0.591	0.867	0.000	0.000	0.000	0.086	0.185	0.272	117	6.0%	157	171	0	0	0.00%
380	CA	Kaiden Guhle	MTL	21	D	70	6	16	22	56	-8	20:51	18:32	0:16	2:02	6	0	0	1	1	16	0	0	3	0	22	0	0	4	1	0.0%	0.247	0.658	0.904	0.277	0.740	1.017	0.000	0.000	0.000	0.086	0.229	0.314	95	6.3%	116	178	0	0	0.00%
381	CA	Kasperi Kapanen	STL	27	F	73	6	16	22	14	-5	14:23	12:38	0:32	1:11	5	0	1	1	0	15	0	1	3	1	20	0	2	4	1	0.0%	0.343	0.914	1.257	0.325	0.975	1.300	0.000	0.000	0.000	0.082	0.219	0.301	99	6.1%	64	27	13	25	34.21%
382	CA	Jacob Trouba	NYR	29	D	69	3	19	22	73	-4	21:14	18:01	0:22	2:50	3	0	0	0	0	17	1	1	4	0	20	1	1	4	0	4.5%	0.123	0.778	0.900	0.145	0.820	0.964	0.000	2.342	2.342	0.043	0.275	0.319	129	2.3%	192	183	0	0	0.00%
383	CA	Alexei Toropchenko	STL	24	F	82	14	7	21	30	-3	12:31	11:20	0:09	1:01	12	0	2	1	0	7	0	0	1	0	19	0	2	2	0	0.0%	0.818	0.409	1.227	0.774	0.452	1.226	0.000	0.000	0.000	0.171	0.085	0.256	114	12.3%	165	55	0	3	0.00%
384	CA	Will Cuylle	NYR	21	F	81	13	8	21	56	-3	11:07	10:54	0:12	0:00	12	1	0	2	0	7	1	0	0	0	19	2	0	2	0	9.5%	0.866	0.533	1.398	0.815	0.475	1.290	3.438	3.438	6.877	0.160	0.099	0.259	119	10.9%	249	26	2	8	20.00%
385	CA	Jake Walman	DET	27	D	63	12	9	21	44	-2	19:46	16:38	0:40	2:26	11	1	0	3	2	5	3	1	2	1	16	4	1	5	3	19.0%	0.578	0.434	1.012	0.629	0.286	0.915	1.417	4.250	5.667	0.190	0.143	0.333	108	11.1%	42	151	0	0	0.00%
386	CA	Calle Järnkrok	TOR	32	F	52	10	11	21	18	16	15:15	12:29	1:16	1:30	9	0	1	3	1	9	1	1	1	0	18	1	2	4	1	4.8%	0.756	0.832	1.588	0.831	0.831	1.663	0.000	0.910	0.910	0.192	0.212	0.404	92	10.9%	55	13	65	67	49.24%
387	CA	Blake Wheeler	NYR	37	F	54	9	12	21	23	2	12:43	11:44	0:58	0:00	8	1	0	1	0	12	0	0	3	0	20	1	0	4	0	4.8%	0.786	1.048	1.835	0.757	1.135	1.892	1.142	0.000	1.142	0.167	0.222	0.389	83	10.8%	31	31	38	24	61.29%
388	CA	Oscar Sundqvist	STL	29	F	71	6	15	21	32	-6	13:14	10:38	1:09	1:26	2	3	1	0	0	11	2	2	3	0	13	5	3	3	0	23.8%	0.383	0.957	1.339	0.159	0.873	1.032	2.198	1.465	3.664	0.085	0.211	0.296	68	8.8%	82	49	247	342	41.94%
389	CA	Beck Malenstyn	WSH	25	F	81	6	15	21	25	-1	14:14	11:36	0:01	2:36	6	0	0	1	0	14	0	1	3	0	20	0	1	4	0	0.0%	0.312	0.780	1.092	0.383	0.894	1.276	0.000	0.000	0.000	0.074	0.185	0.259	98	6.1%	242	93	23	28	45.10%
390	CA	Michael Kesselring	ARI	23	D	65	5	16	21	66	11	15:47	15:28	0:03	0:15	5	0	0	2	0	16	0	0	2	1	21	0	0	4	1	0.0%	0.292	0.935	1.227	0.298	0.955	1.253	0.000	0.000	0.000	0.077	0.246	0.323	76	6.6%	106	59	0	0	0.00%
391	CA	Yegor Zamula	PHI	23	D	66	5	16	21	32	3	16:03	14:24	1:31	0:07	3	2	0	1	0	8	7	1	1	1	11	9	1	2	1	42.9%	0.283	0.906	1.189	0.189	0.505	0.694	1.191	4.169	5.360	0.076	0.242	0.318	61	8.2%	37	79	0	0	0.00%
392	CA	Mario Ferraro	SJS	25	D	78	3	18	21	36	-38	22:52	19:23	0:21	3:07	3	0	0	0	0	18	0	0	0	0	21	0	0	0	0	0.0%	0.101	0.605	0.706	0.119	0.714	0.833	0.000	0.000	0.000	0.038	0.231	0.269	124	2.4%	124	195	0	0	0.00%
393	CA	Craig Smith	DAL	34	F	75	11	9	20	33	2	10:13	10:04	0:04	0:04	11	0	0	2	0	9	0	0	3	0	20	0	0	5	0	0.0%	0.861	0.705	1.566	0.873	0.714	1.587	0.000	0.000	0.000	0.147	0.120	0.267	112	9.8%	52	30	1	3	25.00%
394	CA	Tye Kartye	SEA	22	F	77	11	9	20	37	-1	11:50	11:29	0:05	0:15	11	0	0	1	0	9	0	0	1	0	20	0	0	2	0	0.0%	0.724	0.593	1.317	0.746	0.610	1.356	0.000	0.000	0.000	0.143	0.117	0.260	109	10.1%	229	27	41	46	47.13%
395	CA	Josh Anderson	MTL	29	F	78	9	11	20	74	-18	15:27	13:37	1:47	0:03	9	0	0	0	0	9	2	0	2	0	18	2	0	2	0	10.0%	0.448	0.547	0.995	0.508	0.508	1.017	0.000	0.862	0.862	0.115	0.141	0.256	141	6.4%	170	40	15	16	48.39%
396	CA	Brenden Dillon	WPG	33	D	77	8	12	20	92	20	18:44	16:22	0:08	2:13	8	0	0	2	0	12	0	0	4	0	20	0	0	6	0	0.0%	0.333	0.499	0.832	0.381	0.571	0.952	0.000	0.000	0.000	0.104	0.156	0.260	79	10.1%	241	111	0	0	0.00%
397	CA	Philip Tomasino	NSH	22	F	41	7	13	20	25	-6	12:34	10:57	1:36	0:00	7	0	0	2	0	9	4	0	1	0	16	4	0	3	0	20.0%	0.815	1.513	2.328	0.934	1.201	2.135	0.000	3.637	3.637	0.171	0.317	0.488	62	11.3%	13	18	3	16	15.79%
398	CA	Nikita Zadorov	VAN	28	D	75	6	14	20	125	0	17:26	15:44	0:07	1:34	6	0	0	1	0	13	0	1	4	0	19	0	1	5	0	0.0%	0.275	0.642	0.917	0.305	0.661	0.966	0.000	0.000	0.000	0.080	0.187	0.267	90	6.7%	177	68	0	0	0.00%
399	CA	Valtteri Puustinen	PIT	24	F	52	5	15	20	6	4	11:44	10:19	1:25	0:00	5	0	0	0	0	13	2	0	1	0	18	2	0	1	0	10.0%	0.491	1.473	1.964	0.559	1.453	2.012	0.000	1.619	1.619	0.096	0.288	0.385	86	5.8%	40	33	1	3	25.00%
400	CA	Ben Chiarot	DET	32	D	77	5	15	20	56	-4	19:46	17:41	0:06	1:58	5	0	0	1	1	15	0	0	1	1	20	0	0	2	2	0.0%	0.197	0.591	0.788	0.220	0.661	0.881	0.000	0.000	0.000	0.065	0.195	0.260	107	4.7%	163	167	0	0	0.00%
